time,pmt_high_voltage,pmt_current,v_p2p_ch1,v_rms_ch1,v_p2p_ch2,v_rms_ch2
1741441750.3843691,1874.7,246.54,0.6000000238,0.0296922978,0.4799999893,0.0245193895
1741441756.3183103,1879.8,247.31,0.5600000024,0.0301470309,0.3400000036,0.0200519543
1741441762.4459317,1885.0,248.06,0.5199999809,0.0364746638,0.4640000165,0.0182050057
1741441768.4831326,1890.0,248.81,0.5120000243,0.0225232393,0.2560000122,0.0280031636
1741441774.2517276,1895.0,249.58,0.4600000083,0.0333069116,1.2199999094,0.03541179
1741441780.0519223,1900.1,250.36,0.3400000036,0.0277654752,0.6200000048,0.0467802882
1741441786.2638626,1905.0,251.105,0.4080000222,0.0291403309,0.4399999976,0.0259404909
1741441792.2200189,1910.0,251.86,0.719999969,0.0297336001,0.6599999666,0.0308891833
1741441798.224829,1915.0,252.625,1.379999876,0.0276171155,0.3199999928,0.0246593431
1741441803.992212,1919.6,253.38,0.4199999869,0.0328975096,0.4799999893,0.0444178917
1741441810.1384141,1925.0,254.14,0.4199999869,0.0401697084,0.6000000238,0.0564552434
1741441816.0647137,1930.0,254.905,0.6599999666,0.0232080892,0.6800000072,0.035297852
1741441821.816822,1935.0,255.56,0.1599999964,0.0685340688,0.6399999857,0.0288439672
1741441827.9417553,1939.9,256.41,1.4999998808,0.0391989946,0.8000000119,0.0541563146
1741441834.024416,1945.0,257.185,0.6800000072,0.0849979371,0.8199999928,0.0323776565
1741441840.1001368,1950.0,257.95,0.7200000286,0.0297999177,0.4799999893,0.0558117591
1741441846.1308386,1955.0,258.71,0.5199999809,0.0390605964,1.1399998665,0.0384860896
1741441852.1285932,1960.0,259.47,1.2000000477,0.0433934666,0.6399999857,0.0493289605
1741441858.3017187,1964.6,260.155,1.4999998808,0.037878938,0.8600000143,0.0358110741
1741441864.3929958,1969.5,261.005,0.8400000334,0.074865222,0.6000000238,0.0607700311
1741441870.6609325,1974.7,261.76,0.5199999809,0.0422363989,0.8799999952,0.0584262945
1741441876.9296663,1979.3,262.515,1.7199999094,0.0371823385,1.6199998856,0.0420540981
1741441882.9154742,1985.0,263.285,1.2960000038,0.0900597796,0.6399999857,0.1726548076
1741441888.9785132,1989.3,264.05,2.6399998665,0.0533293299,1.3799999952,0.055163186
1741441895.0080862,1995.0,264.805,1.1999999285,0.0564032421,0.8399999738,0.0671610311
1741441901.3918934,2000.0,265.56,2.9199998379,0.0606302731,1.6999999285,0.062000785
